score,good,ok,miss,maxcombo,drumroll
Ignis Danse,894860点,644回,168回,6回,296回,67回
頂,904850点,719回,153回,9回,388回,67回
Illusion Flare,904010点,611回,143回,12回,296回,243回
Infinite Rebellion,688360点,642回,474回,188回,41回,139回
VIVIVIVID,887850点,523回,137回,8回,410回,6回
Vixtory,898940点,735回,166回,11回,326回,155回
Vixtory(裏譜面),686900点,628回,438回,174回,85回,93回
VICTORIA,938340点,742回,112回,4回,441回,212回
詩謳兎揺蕩兎,901270点,542回,135回,3回,351回,114回
うちゅうひこうし冒険譚,887840点,623回,162回,12回,250回,8回
Agent Hustle ＆ Dr. Hassle,795030点,431回,234回,28回,323回,16回
EkiBEN2000,931440点,754回,114回,8回,348回,69回
ex寅 Trap!!,880450点,679回,193回,16回,155回,51回
EterNal Ring,806500点,595回,249回,58回,245回,91回
X-DAY2000,848670点,547回,196回,22回,145回,47回
Evidence of evil,846760点,580回,216回,18回,289回,16回
OK I’m blue rat,774040点,488回,280回,48回,234回,30回
ON SAY GO SAY(裏譜面),803520点,408回,176回,37回,184回,0回
彁,761430点,403回,244回,45回,197回,14回
彁(裏譜面),516060点,320回,458回,292回,80回,0回
χ談,828560点,644回,274回,33回,159回,7回
懐中庭園を持つ少女,836000点,580回,217回,30回,147回,98回
!!!カオスタイム!!!,615100点,379回,442回,166回,115回,151回
彼は誰時の誘惑(裏譜面),824400点,604回,288回,24回,129回,16回
絡繰廻廊,739470点,482回,353回,65回,129回,103回
カラフル,849550点,548回,149回,42回,153回,154回
Calculator,862120点,580回,178回,19回,396回,0回
Caribbean Knight,777000点,486回,273回,47回,229回,51回
気焔万丈神楽,913440点,963回,150回,28回,190回,0回
きたさいたま2000,899150点,639回,155回,8回,660回,43回
キューティー☆デモニック☆魔人エモ!!,926400点,902回,169回,4回,614回,98回
共奏鼓祭(裏譜面),868740点,646回,210回,14回,443回,126回
狂瀾怒濤(裏譜面),745690点,631回,370回,107回,139回,213回
Clotho クロートー,825780点,690回,238回,55回,306回,6回
Gloria,861860点,661回,204回,23回,307回,73回
弧,895180点,911回,210回,17回,427回,11回
濃紅,804770点,593回,318回,39回,175回,318回
ゴーゴー・キッチン(裏譜面),897850点,764回,149回,27回,479回,14回
氷竜 ～Kooryu～(裏譜面),830440点,725回,282回,52回,333回,164回
Goldfish City,766750点,515回,305回,56回,99回,140回
刻竜 ～Kokuryu～,838490点,627回,228回,30回,235回,23回
Coquette,799240点,674回,278回,70回,104回,25回
ココロボ,796100点,393回,195回,32回,165回,113回
コネクトカラーズ,832500点,588回,270回,14回,143回,24回
鼓舞曲「閻魔」,882700点,740回,220回,19回,298回,157回
鼓立あおはる学園校歌,nil,nil,nil,nil,nil,nil
The Future of the 太鼓ドラム,861270点,707回,256回,11回,187回,192回
The Future of the 太鼓ドラム(裏譜面),668750点,695回,484回,221回,93回,59回
秋竜 ～Shiuryu～(裏譜面),901220点,837回,200回,8回,413回,17回
紫煌ノ乱,911950点,681回,133回,9回,337回,0回
疾風怒濤,854980点,547回,203回,22回,187回,324回
疾風怒濤(裏譜面),784920点,654回,369回,60回,151回,135回
〆ドレー2000,879060点,1081回,307回,26回,489回,41回
承認欲Q,821800点,603回,266回,30回,344回,122回
万戈イム－一ノ十,831800点,690回,271回,38回,194回,63回
晨星ト鵺,913350点,736回,161回,7回,533回,152回
森羅万象,760530点,593回,285回,47回,163回,191回
神竜 ～Shinryu～,859070点,724回,215回,34回,474回,37回
神竜 ～Shinryu～(裏譜面),753890点,834回,369回,162回,110回,2回
スーハー2000,764900点,393回,232回,43回,254回,14回
SUPERNOVA,926730点,793回,134回,10回,389回,72回
SUPERNOVA(裏譜面),892990点,859回,232回,12回,295回,69回
須佐之男,904440点,557回,124回,5回,668回,7回
Stick Trick ShowTime!!,833090点,637回,249回,32回,166回,43回
Spectral Rider,882590点,579回,148回,21回,184回,279回
星河一天,831400点,582回,246回,30回,300回,136回
セイクリッド ルイン(裏譜面),905860点,819回,165回,16回,386回,142回
青天の黎明,772710点,606回,333回,61回,188回,96回
零の交響曲(裏譜面),856400点,628回,244回,21回,274回,314回
Central Dogma Pt.1,871530点,665回,189回,22回,192回,57回
Central Dogma Pt.1(裏譜面),571310点,464回,505回,290回,40回,78回
Central Dogma Pt.2,850040点,714回,216回,45回,223回,116回
旋風ノ舞【天】,906410点,500回,111回,5回,491回,65回
旋風ノ舞【天】(裏譜面),777280点,370回,186回,43回,192回,50回
憎悪と醜悪の花束,856320点,526回,177回,19回,374回,206回
憎悪と醜悪の花束(裏譜面),673530点,539回,494回,137回,78回,79回
双竜ノ乱,813280点,661回,242回,67回,96回,0回
【双打】双竜ノ乱,nil,nil,nil,nil,nil,nil
続・〆ドレ－2000,769320点,573回,298回,69回,107回,40回
そして勇者は眠りにつく(裏譜面),850320点,927回,350回,39回,260回,128回
そつおめしき,870030点,618回,145回,34回,262回,0回
そつおめしき2ばん,892720点,631回,145回,16回,204回,0回
SORA-VII シグナスウォール,877860点,625回,209回,5回,583回,108回
十露盤2000,905580点,614回,143回,8回,305回,220回
タイコタイム(裏譜面),963990点,807回,68回,1回,874回,140回
Taiko Drum Monster,779710点,505回,307回,38回,90回,108回
Taiko Drum Monster(裏譜面),784610点,637回,368回,39回,179回,65回
たいこの2000,858500点,722回,266回,20回,345回,35回
タイコロール,855490点,619回,230回,27回,189回,419回
Diving Drive,947580点,799回,90回,3回,471回,23回
第六天魔王,675480点,648回,557回,191回,88回,84回
束ね糸,797960点,631回,283回,62回,146回,37回
タベルナ2000,965020点,763回,56回,2回,661回,0回
ダンガンノーツ,827240点,639回,248回,36回,164回,32回
ダンガンノーツ(裏譜面),756510点,696回,365回,106回,255回,10回
魑魅魍魎,791800点,673回,344回,68回,123回,144回
Challengers,799440点,482回,225回,46回,112回,147回
超絶技巧系少女,832880点,560回,214回,29回,142回,58回
月読命,848440点,693回,255回,25回,244回,46回
D's Adventure Note,916480点,733回,129回,10回,307回,0回
Destination 2F29,772460点,596回,334回,65回,131回,35回
デッド・オア・ダイ,785610点,671回,370回,55回,219回,85回
テトラリュトモスフォビア,841730点,490回,217回,10回,257回,109回
≠MM,793250点,813回,399回,78回,241回,35回
DEBSTEP!,751470点,499回,335回,54回,103回,0回
天下統一録,928200点,841回,138回,9回,374回,182回
天泣の律,768380点,495回,268回,58回,130回,10回
てんぢく2000,879300点,636回,183回,12回,172回,63回
トイマチック☆パレード!!,803460点,544回,271回,36回,103回,98回
Toon Town's Toys' Tune,822840点,444回,194回,21回,163回,69回
ドドドドドンだフル！(裏譜面),nil,nil,nil,nil,nil,nil
ドドンガド～ン(裏譜面),866270点,664回,183回,29回,379回,50回
ドンカマ2000,687710点,391回,270回,104回,106回,0回
Don't Stop the Game,847840点,608回,210回,28回,177回,65回
ナイトメア・サバイバー(裏譜面),828260点,585回,268回,23回,252回,86回
にゃーにゃーにゃー,806030点,575回,226回,58回,96回,22回
No Gravity,922580点,565回,102回,7回,226回,109回
ノるどん2000,827560点,664回,218回,54回,221回,170回
HARDCOREノ心得,819040点,594回,256回,35回,146回,104回
Hurtling Boys,895650点,725回,158回,20回,229回,40回
Purple Rose Fusion,840800点,631回,198回,47回,226回,86回
儚姫は原初に舞う,812530点,493回,214回,33回,121回,36回
儚姫は原初に舞う(裏譜面),829300点,621回,256回,37回,136回,54回
幕末維新譚,752140点,628回,403回,78回,76回,159回
はたラク2000,781820点,534回,298回,44回,187回,32回
†バチ!ムチ!?マッスルキングダム†,826680点,655回,264回,42回,223回,82回
初音ミクの消失 ‐劇場版‐(裏譜面),820400点,688回,257回,54回,251回,39回
"Hello, Mr.JOKER",920400点,686回,130回,5回,423回,192回
パン vs ごはん！ 大決戦！,488530点,283回,174回,23回,92回,417回
パン vs ごはん！ 大決戦！(裏譜面),790800点,530回,241回,53回,153回,49回
ピコピコ ルイン(裏譜面),872860点,771回,203回,26回,290回,101回
人のお金で焼肉を食したい！(裏譜面),836700点,564回,238回,27回,168回,171回
秘ナルメジェドノ悲ナル憂鬱,846930点,579回,215回,24回,180回,94回
ひよこ鑑定士さん,843680点,610回,211回,31回,313回,76回
Black Rose Apostle,921540点,743回,126回,7回,516回,27回
Black Rose Apostle(裏譜面),898500点,735回,162回,18回,293回,9回
Player's High,827750点,621回,249回,43回,181回,164回
Blessed Bouquet Buskers,954470点,774回,93回,1回,667回,191回
ヘイラ(裏譜面),827430点,549回,245回,25回,201回,82回
ペットショップ大戦,781020点,437回,207回,52回,75回,27回
Behemoth,810500点,656回,297回,46回,265回,60回
星屑ストラック,939700点,615回,96回,0回,711回,115回
星屑ストラック(裏譜面),832980点,735回,261回,48回,139回,21回
poxei♦DOON,714430点,642回,439回,129回,100回,80回
またさいたま2000,840920点,583回,225回,27回,156回,144回
まださいたま2000,764500点,611回,307回,63回,233回,0回
まるくてはやくてすさまじいリズム,765960点,596回,298回,84回,107回,1回
三瀬川乱舞(裏譜面),888820点,494回,143回,2回,496回,17回
mint tears,948670点,682回,83回,0回,765回,13回
メカデス。(裏譜面),784700点,600回,346回,53回,182回,117回
めためた☆ゆにば～すっ！(裏譜面),nil,nil,nil,nil,nil,nil
memoria ficta,881720点,564回,178回,5回,275回,67回
8OROCHI,883450点,735回,210回,13回,397回,25回
8OROCHI(裏譜面),868800点,778回,175回,48回,181回,33回
幽玄ノ乱,668000点,566回,528回,168回,143回,40回
UFO Swingin',768370点,447回,266回,43回,132回,99回
YOAKE,912760点,789回,170回,6回,534回,38回
よーいドン！,850680点,558回,199回,20回,364回,35回
夜桜謝肉祭(裏譜面),913960点,780回,158回,4回,521回,128回
ラヴ♡スパイス♡ライクユー!!!,884570点,723回,202回,9回,489回,39回
